"","Species","Treatment","."
"1","BROL","BRRA 50%",0.626316037578498
"2","BROL","CAAN 50%",0.833193567232376
"3","BROL","ERSA 50%",-0.289855879460103
"4","BROL","IPAQ 50%",-0.260301946652407
"5","BROL","IPPU 50%",-0.3194098122678
"6","BROL","PEIN 50%",-0.023870484190832
"7","BROL","SIAL 50%",-0.112532282613922
"8","BROL","SOLY 50%",-0.023870484190832
"9","BROL","SOME 50%",-0.112532282613922
"10","BRRA","BROL 50%",1.56141706044838
"11","BRRA","CAAN 50%",0.527845975167432
"12","BRRA","ERSA 50%",-0.341293346546095
"13","BRRA","IPAQ 50%",0.0815311883415671
"14","BRRA","IPPU 50%",-0.294312842669688
"15","BRRA","PEIN 50%",-0.341293346546095
"16","BRRA","SIAL 50%",-0.341293346546095
"17","BRRA","SOLY 50%",0.10502144027977
"18","BRRA","SOME 50%",-0.341293346546095
"19","CAAN","BROL 50%",-0.0159504720804352
"20","CAAN","BRRA 50%",-0.140584160819284
"21","CAAN","ERSA 50%",0.86979574303449
"22","CAAN","IPAQ 50%",0.0397111753174973
"23","CAAN","IPPU 50%",-0.394691681548975
"24","CAAN","PEIN 50%",-0.424942576873939
"25","CAAN","SIAL 50%",-0.0171605078934337
"26","CAAN","SOLY 50%",0.0941627869024312
"27","CAAN","SOME 50%",-0.295468744883096
"28","ERSA","BROL 50%",-0.525664165551468
"29","ERSA","BRRA 50%",1.23936400240513
"30","ERSA","CAAN 50%",0.1913785276809
"31","ERSA","IPAQ 50%",1.77254959480869
"32","ERSA","IPPU 50%",0.301692788178188
"33","ERSA","PEIN 50%",0.614249859587169
"34","ERSA","SIAL 50%",0.742949830167338
"35","ERSA","SOLY 50%",0.136221397432257
"36","ERSA","SOME 50%",1.25774971248801
"37","IPAQ","BROL 50%",-0.264464499643915
"38","IPAQ","BRRA 50%",-0.264464499643915
"39","IPAQ","CAAN 50%",-0.264464499643915
"40","IPAQ","ERSA 50%",-0.264464499643915
"41","IPAQ","IPPU 50%",-0.264464499643915
"42","IPAQ","PEIN 50%",0.340025785256462
"43","IPAQ","SIAL 50%",-0.264464499643915
"44","IPAQ","SOLY 50%",0.0377806428062735
"45","IPAQ","SOME 50%",-0.264464499643915
"46","IPPU","BROL 50%",1.30205222034244
"47","IPPU","BRRA 50%",-0.0253496892456051
"48","IPPU","CAAN 50%",-0.467816992441621
"49","IPPU","ERSA 50%",-0.412508579542119
"50","IPPU","IPAQ 50%",1.41266904614145
"51","IPPU","PEIN 50%",0.195883962352403
"52","IPPU","SIAL 50%",0.085267136553399
"53","IPPU","SOLY 50%",-0.467816992441621
"54","IPPU","SOME 50%",0.361809201050909
"55","PEIN","BROL 50%",0.309534078730806
"56","PEIN","BRRA 50%",0.55039083616697
"57","PEIN","CAAN 50%",2.02978165363038
"58","PEIN","ERSA 50%",0.517245410831718
"59","PEIN","IPAQ 50%",0.0432658285376155
"60","PEIN","IPPU 50 %",-0.441762228868238
"61","PEIN","SIAL 50%",-0.352269580463058
"62","PEIN","SOLY 50%",0.167008749789223
"63","PEIN","SOME 50%",0.110661526719294
"64","SIAL","BROL 50%",-0.102202320227583
"65","SIAL","BRRA 50%",-0.561069880433055
"66","SIAL","CAAN 50%",1.45794738447102
"67","SIAL","ERSA 50%",-0.102202320227583
"68","SIAL","IPPU 50%",-0.331636100330319
"69","SIAL","PEIN 50%",1.13674009232719
"70","SIAL","SOLY 50%",1.13674009232719
"71","SIAL","SOME 50%",0.907306312224458
"72","SOLY","BROL 50%",1.21698141051892
"73","SOLY","BRRA 50%",-0.111606980245012
"74","SOLY","CAAN 50%",-0.555542084180659
"75","SOLY","ERSA 50%",-0.262802269266573
"76","SOLY","IPAQ 50%",-0.513722110621504
"77","SOLY","IPPU 50%",-0.510505189578492
"78","SOLY","PEIN 50%",0.280857387002444
"79","SOLY","SIAL 50%",-0.455817531847289
"80","SOLY","SOME 50%",0.300158913260516
"81","SOME","BROL 50%",0.50443047122583
"82","SOME","BRRA 50%",-0.398233220292504
"83","SOME","CAAN 50%",0.127835296699901
"84","SOME","ERSA 50%",0.477577035241593
"85","SOME","IPPU 50%",0.273749750060033
"86","SOME","PEIN 50%",0.803377156158784
"87","SOME","SIAL 50%",0.674933612957071
"88","SOME","SOLY 50%",0.810171398998169
"89","SOME ","IPAQ 50%",-0.604001717713888
