"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",4.65062803331022,0.448139636074133,105,10.3776315660258,8.69710910192274e-18
"relevel(Treatment, ref = ""CROSS"")Brassica oleracea",-1.88984731229593,0.730408363114462,105,-2.58738454778586,0.0110383572091253
"relevel(Treatment, ref = ""CROSS"")Brassica rapa",-1.01130782470598,0.730408363114462,105,-1.38457864911864,0.169116630730281
"relevel(Treatment, ref = ""CROSS"")Capsicum annuum",0.737145583846931,0.730408363114463,105,1.0092239096274,0.315187323311531
"relevel(Treatment, ref = ""CROSS"")CONTROL",-4.67208990496433,0.730408363114462,105,-6.3965449204915,4.5042273564644e-09
"relevel(Treatment, ref = ""CROSS"")Eruca vesicaria",-0.957355556745162,0.730408363114462,105,-1.31071275342878,0.192814440037827
"relevel(Treatment, ref = ""CROSS"")FLOWER CONTROL",-4.67208990496432,0.730408363114462,105,-6.3965449204915,4.50422735646445e-09
"relevel(Treatment, ref = ""CROSS"")Ipomoea aquatica",-3.22735849413601,0.730408363114462,105,-4.41856727978107,2.42507857189073e-05
"relevel(Treatment, ref = ""CROSS"")Ipomoea purpurea",-4.25937646645982,0.730408363114462,105,-5.83150013274469,6.12930174680572e-08
"relevel(Treatment, ref = ""CROSS"")SELF",-1.29695754376997,0.730408363114462,105,-1.77566086215079,0.0786858889857763
"relevel(Treatment, ref = ""CROSS"")Sinapis alba",-3.03897741852723,0.730408363114462,105,-4.16065528818568,6.50862299068335e-05
"relevel(Treatment, ref = ""CROSS"")Solanum lycopersicum",-2.44860600020819,0.730408363114462,105,-3.35237946861306,0.00111480970918997
"relevel(Treatment, ref = ""CROSS"")Solanum melongena",-2.70406102469436,0.730408363114462,105,-3.70212221169571,0.000342646079983974
