species;treatment;t_number;seed_set
IPAQ;cross;1;2
IPAQ;cross;2;3
IPAQ;cross;3;0
IPAQ;cross;4;0
IPAQ;cross;5;3
IPAQ;cross;6;1
IPAQ;cross;7;0
IPAQ;cross;8;1
IPAQ;cross;9;2
IPAQ;cross;10;4
IPAQ;self;1;0
IPAQ;self;2;3
IPAQ;self;3;1
IPAQ;self;4;3
IPAQ;self;5;0
IPAQ;self;6;2
IPAQ;self;7;2
IPAQ;self;8;1
IPAQ;self;9;0
IPAQ;self;10;0
IPAQ;control;1;0
IPAQ;control;2;0
IPAQ;control;3;0
IPAQ;control;4;0
IPAQ;control;5;0
IPAQ;control;6;0
IPAQ;control;7;0
IPAQ;control;8;0
IPAQ;control;9;0
IPAQ;control;10;0
IPAQ;flower control;1;0
IPAQ;flower control;2;0
IPAQ;flower control;3;0
IPAQ;flower control;4;3
IPAQ;flower control;5;0
IPAQ;flower control;6;0
IPAQ;flower control;7;0
IPAQ;flower control;8;1
IPAQ;flower control;9;4
IPAQ;flower control;10;0
IPAQ;SOLY 50%;1;0
IPAQ;SOLY 50%;2;2
IPAQ;SOLY 50%;3;0
IPAQ;SOLY 50%;4;0
IPAQ;SOLY 50%;5;0
IPAQ;SOLY 50%;6;0
IPAQ;SOLY 50%;7;0
IPAQ;SOLY 50%;8;0
IPAQ;SOLY 50%;9;0
IPAQ;SOLY 50%;10;0
IPAQ;SOLY 100%;1;0
IPAQ;SOLY 100%;2;0
IPAQ;SOLY 100%;3;0
IPAQ;SOLY 100%;4;0
IPAQ;SOLY 100%;5;0
IPAQ;SOLY 100%;6;0
IPAQ;SOLY 100%;7;0
IPAQ;SOLY 100%;8;0
IPAQ;SOLY 100%;9;0
IPAQ;SOLY 100%;10;0
IPAQ;PEIN 50%;1;0
IPAQ;PEIN 50%;2;3
IPAQ;PEIN 50%;3;0
IPAQ;PEIN 50%;4;0
IPAQ;PEIN 50%;5;0
IPAQ;PEIN 50%;6;0
IPAQ;PEIN 50%;7;1
IPAQ;PEIN 50%;8;0
IPAQ;PEIN 50%;9;0
IPAQ;PEIN 50%;10;0
IPAQ;PEIN 100%;1;0
IPAQ;PEIN 100%;2;0
IPAQ;PEIN 100%;3;0
IPAQ;PEIN 100%;4;0
IPAQ;PEIN 100%;5;0
IPAQ;PEIN 100%;6;0
IPAQ;PEIN 100%;7;0
IPAQ;PEIN 100%;8;0
IPAQ;PEIN 100%;9;0
IPAQ;PEIN 100%;10;0
IPAQ;CAAN 50%;1;0
IPAQ;CAAN 50%;2;0
IPAQ;CAAN 50%;3;0
IPAQ;CAAN 50%;4;0
IPAQ;CAAN 50%;5;0
IPAQ;CAAN 50%;6;0
IPAQ;CAAN 50%;7;0
IPAQ;CAAN 50%;8;0
IPAQ;CAAN 50%;9;0
IPAQ;CAAN 50%;10;0
IPAQ;CAAN 100%;1;0
IPAQ;CAAN 100%;2;0
IPAQ;CAAN 100%;3;0
IPAQ;CAAN 100%;4;0
IPAQ;CAAN 100%;5;0
IPAQ;CAAN 100%;6;0
IPAQ;CAAN 100%;7;0
IPAQ;CAAN 100%;8;0
IPAQ;CAAN 100%;9;0
IPAQ;CAAN 100%;10;0
IPAQ;SOME 50%;1;0
IPAQ;SOME 50%;2;0
IPAQ;SOME 50%;3;0
IPAQ;SOME 50%;4;0
IPAQ;SOME 50%;5;0
IPAQ;SOME 50%;6;0
IPAQ;SOME 50%;7;0
IPAQ;SOME 50%;8;0
IPAQ;SOME 50%;9;0
IPAQ;SOME 50%;10;0
IPAQ;SOME 100%;1;0
IPAQ;SOME 100%;2;0
IPAQ;SOME 100%;3;0
IPAQ;SOME 100%;4;0
IPAQ;SOME 100%;5;0
IPAQ;SOME 100%;6;0
IPAQ;SOME 100%;7;0
IPAQ;SOME 100%;8;0
IPAQ;SOME 100%;9;0
IPAQ;SOME 100%;10;0
IPAQ;SIAL 50%;1;0
IPAQ;SIAL 50%;2;0
IPAQ;SIAL 50%;3;0
IPAQ;SIAL 50%;4;0
IPAQ;SIAL 50%;5;0
IPAQ;SIAL 50%;6;0
IPAQ;SIAL 50%;7;0
IPAQ;SIAL 50%;8;0
IPAQ;SIAL 50%;9;0
IPAQ;SIAL 50%;10;0
IPAQ;SIAL 100%;1;0
IPAQ;SIAL 100%;2;0
IPAQ;SIAL 100%;3;0
IPAQ;SIAL 100%;4;0
IPAQ;SIAL 100%;5;0
IPAQ;SIAL 100%;6;0
IPAQ;SIAL 100%;7;0
IPAQ;SIAL 100%;8;0
IPAQ;SIAL 100%;9;0
IPAQ;SIAL 100%;10;0
IPAQ;BROL 50%;1;0
IPAQ;BROL 50%;2;0
IPAQ;BROL 50%;3;0
IPAQ;BROL 50%;4;0
IPAQ;BROL 50%;5;0
IPAQ;BROL 50%;6;0
IPAQ;BROL 50%;7;0
IPAQ;BROL 50%;8;0
IPAQ;BROL 50%;9;0
IPAQ;BROL 50%;10;0
IPAQ;BROL 100%;1;0
IPAQ;BROL 100%;2;0
IPAQ;BROL 100%;3;0
IPAQ;BROL 100%;4;0
IPAQ;BROL 100%;5;0
IPAQ;BROL 100%;6;0
IPAQ;BROL 100%;7;0
IPAQ;BROL 100%;8;0
IPAQ;BROL 100%;9;0
IPAQ;BROL 100%;10;0
IPAQ;BRRA 50%;1;0
IPAQ;BRRA 50%;2;0
IPAQ;BRRA 50%;3;0
IPAQ;BRRA 50%;4;0
IPAQ;BRRA 50%;5;0
IPAQ;BRRA 50%;6;0
IPAQ;BRRA 50%;7;0
IPAQ;BRRA 50%;8;0
IPAQ;BRRA 50%;9;0
IPAQ;BRRA 50%;10;0
IPAQ;BRRA 100%;1;0
IPAQ;BRRA 100%;2;0
IPAQ;BRRA 100%;3;0
IPAQ;BRRA 100%;4;0
IPAQ;BRRA 100%;5;0
IPAQ;BRRA 100%;6;0
IPAQ;BRRA 100%;7;0
IPAQ;BRRA 100%;8;0
IPAQ;BRRA 100%;9;0
IPAQ;BRRA 100%;10;0
IPAQ;ERSA 50%;1;0
IPAQ;ERSA 50%;2;0
IPAQ;ERSA 50%;3;0
IPAQ;ERSA 50%;4;0
IPAQ;ERSA 50%;5;0
IPAQ;ERSA 50%;6;0
IPAQ;ERSA 50%;7;0
IPAQ;ERSA 50%;8;0
IPAQ;ERSA 50%;9;0
IPAQ;ERSA 50%;10;0
IPAQ;ERSA 100%;1;0
IPAQ;ERSA 100%;2;0
IPAQ;ERSA 100%;3;0
IPAQ;ERSA 100%;4;0
IPAQ;ERSA 100%;5;0
IPAQ;ERSA 100%;6;0
IPAQ;ERSA 100%;7;0
IPAQ;ERSA 100%;8;0
IPAQ;ERSA 100%;9;0
IPAQ;ERSA 100%;10;0
IPAQ;IPPU 50%;1;0
IPAQ;IPPU 50%;2;0
IPAQ;IPPU 50%;3;0
IPAQ;IPPU 50%;4;0
IPAQ;IPPU 50%;5;0
IPAQ;IPPU 50%;6;0
IPAQ;IPPU 50%;7;0
IPAQ;IPPU 50%;8;0
IPAQ;IPPU 50%;9;0
IPAQ;IPPU 50%;10;0
IPAQ;IPPU 100%;1;0
IPAQ;IPPU 100%;2;0
IPAQ;IPPU 100%;3;0
IPAQ;IPPU 100%;4;0
IPAQ;IPPU 100%;5;0
IPAQ;IPPU 100%;6;0
IPAQ;IPPU 100%;7;0
IPAQ;IPPU 100%;8;0
IPAQ;IPPU 100%;9;0
IPAQ;IPPU 100%;10;0
IPAQ;RARA 50%;1;0
IPAQ;RARA 50%;2;0
IPAQ;RARA 50%;3;0
IPAQ;RARA 50%;4;0
IPAQ;RARA 50%;5;0
IPAQ;RARA 50%;6;0
IPAQ;RARA 50%;7;0
IPAQ;RARA 50%;8;0
IPAQ;RARA 50%;9;0
IPAQ;RARA 50%;10;0
IPAQ;RARA 100%;1;0
IPAQ;RARA 100%;2;0
IPAQ;RARA 100%;3;0
IPAQ;RARA 100%;4;0
IPAQ;RARA 100%;5;0
IPAQ;RARA 100%;6;0
IPAQ;RARA 100%;7;0
IPAQ;RARA 100%;8;0
IPAQ;RARA 100%;9;0
IPAQ;RARA 100%;10;0
