"","focal","non_focal","pollen_per_stigma","variable","NA.","spp"
"1","C. annuum","I. purpurea",258,"focal_pollen","C. annuum-I. purpurea","C. annuum-I. purpurea"
"2","E. sativa","I. purpurea",1308,"focal_pollen","E. sativa-I. purpurea","E. sativa-I. purpurea"
"3","B. oleracea","I. purpurea",90,"focal_pollen","B. oleracea-I. purpurea","B. oleracea-I. purpurea"
"4","B. rapa","I. purpurea",193,"focal_pollen","B. rapa-I. purpurea","B. rapa-I. purpurea"
"5","S. melongena","I. aquatica",64,"focal_pollen","S. melongena-I. aquatica","S. melongena-I. aquatica"
"6","P. integrifolia","I. aquatica",23,"focal_pollen","P. integrifolia-I. aquatica","P. integrifolia-I. aquatica"
"7","S. lycopersicum","I. aquatica",56,"focal_pollen","S. lycopersicum-I. aquatica","S. lycopersicum-I. aquatica"
"8","S. alba","I. aquatica",1617,"focal_pollen","S. alba-I. aquatica","S. alba-I. aquatica"
"9","I. purpurea","S. melongena",138,"focal_pollen","I. purpurea-S. melongena","I. purpurea-S. melongena"
"10","S. alba","S. melongena",3054,"focal_pollen","S. alba-S. melongena","S. alba-S. melongena"
"11","E. sativa","P. integrifolia",621,"focal_pollen","E. sativa-P. integrifolia","E. sativa-P. integrifolia"
"12","B. rapa","S. lycopersicum",1114,"focal_pollen","B. rapa-S. lycopersicum","B. rapa-S. lycopersicum"
"13","I. aquatica","C. annuum",35,"focal_pollen","I. aquatica-C. annuum","I. aquatica-C. annuum"
"14","B. oleracea","C. annuum",281,"focal_pollen","B. oleracea-C. annuum","B. oleracea-C. annuum"
"15","I. purpurea","E. sativa",27,"focal_pollen","I. purpurea-E. sativa","I. purpurea-E. sativa"
"16","S. melongena","E. sativa",1837,"focal_pollen","S. melongena-E. sativa","S. melongena-E. sativa"
"17","P. integrifolia","B. oleracea",332,"focal_pollen","P. integrifolia-B. oleracea","P. integrifolia-B. oleracea"
"18","I. aquatica","S. alba",42,"focal_pollen","I. aquatica-S. alba","I. aquatica-S. alba"
"19","C. annuum","S. alba",304,"focal_pollen","C. annuum-S. alba","C. annuum-S. alba"
"20","S. lycopersicum","B. rapa",164,"focal_pollen","S. lycopersicum-B. rapa","S. lycopersicum-B. rapa"
"21","C. annuum","I. purpurea",11,"non_focal_pollen","C. annuum-I. purpurea","C. annuum-I. purpurea"
"22","E. sativa","I. purpurea",8,"non_focal_pollen","E. sativa-I. purpurea","E. sativa-I. purpurea"
"23","B. oleracea","I. purpurea",20,"non_focal_pollen","B. oleracea-I. purpurea","B. oleracea-I. purpurea"
"24","B. rapa","I. purpurea",2,"non_focal_pollen","B. rapa-I. purpurea","B. rapa-I. purpurea"
"25","S. melongena","I. aquatica",26,"non_focal_pollen","S. melongena-I. aquatica","S. melongena-I. aquatica"
"26","P. integrifolia","I. aquatica",20,"non_focal_pollen","P. integrifolia-I. aquatica","P. integrifolia-I. aquatica"
"27","S. lycopersicum","I. aquatica",10,"non_focal_pollen","S. lycopersicum-I. aquatica","S. lycopersicum-I. aquatica"
"28","S. alba","I. aquatica",19,"non_focal_pollen","S. alba-I. aquatica","S. alba-I. aquatica"
"29","I. purpurea","S. melongena",362,"non_focal_pollen","I. purpurea-S. melongena","I. purpurea-S. melongena"
"30","S. alba","S. melongena",1096,"non_focal_pollen","S. alba-S. melongena","S. alba-S. melongena"
"31","E. sativa","P. integrifolia",321,"non_focal_pollen","E. sativa-P. integrifolia","E. sativa-P. integrifolia"
"32","B. rapa","S. lycopersicum",246,"non_focal_pollen","B. rapa-S. lycopersicum","B. rapa-S. lycopersicum"
"33","I. aquatica","C. annuum",85,"non_focal_pollen","I. aquatica-C. annuum","I. aquatica-C. annuum"
"34","B. oleracea","C. annuum",209,"non_focal_pollen","B. oleracea-C. annuum","B. oleracea-C. annuum"
"35","I. purpurea","E. sativa",216,"non_focal_pollen","I. purpurea-E. sativa","I. purpurea-E. sativa"
"36","S. melongena","E. sativa",2231,"non_focal_pollen","S. melongena-E. sativa","S. melongena-E. sativa"
"37","P. integrifolia","B. oleracea",376,"non_focal_pollen","P. integrifolia-B. oleracea","P. integrifolia-B. oleracea"
"38","I. aquatica","S. alba",170,"non_focal_pollen","I. aquatica-S. alba","I. aquatica-S. alba"
"39","C. annuum","S. alba",450,"non_focal_pollen","C. annuum-S. alba","C. annuum-S. alba"
"40","S. lycopersicum","B. rapa",208,"non_focal_pollen","S. lycopersicum-B. rapa","S. lycopersicum-B. rapa"
