"","species","stigma_type","Selfing_rate","pollen_size","mean_pollen_anther","mean_ovules","pollen_ovule_ratio","anthers","stigma_area","stigma_length","stigma_width","stigma_surface","style_length","style_width","ovary_width","ovary_length"
"5","Brassica oleracea",1,0,27.72,42033,29,8696.48,6,622167.056666667,527.81,884.876666666667,865.476666666667,2324.53285714286,650.947142857143,1112.202,5927.46357142857
"6","Brassica rapa",1,0,25.35,7133,26,1646.08,6,356582.772857143,372.342,733.96,719.971333333333,1080.79866666667,517.278,877.757333333333,3531.94066666667
"2","Capsicum annuum",0,0.8,32.46,30761,241,765.83,6,1060683.56384615,724.838461538462,1177.26733333333,1287.14533333333,3237.912,1057.226,5797.98785714286,3148.36933333333
"7","Eruca versicaria",1,0.1,24.95,22151,24,5537.75,6,345791.758571429,733.236,668.011333333333,682.798,6595.93733333333,730.842333333333,937.486666666667,4423.41733333333
"9","Ipomoea aquatica",1,0.6,70.1,858,4,1072.5,5,3255360.52266667,1430.34428571429,2251.70133333333,2434.15133333333,19441.3033333333,453.062333333333,1416.56666666667,2384.94666666667
"10","Ipomoea purpurea",1,1,97.59,654,6,545,5,2271922.215,1238.398,1878.228,1882.77133333333,28230.0778571429,579.810714285714,1573.478,1056.53666666667
"1","Petunia integrifolia",0,0.9,24.74,34657,220,787.66,5,1168415.58,799.757333333333,1322.43733333333,1553.87533333333,14645.14,449.184333333333,1771.59,3128.93
"8","Sinapis alba",1,0.7,33.59,3507,6,3507,6,548562.104285714,631.037333333333,906.312857142857,968.834285714286,3624.94666666667,773.863333333333,1073.178,1981.31733333333
"3","Solanum lycopersicum",0,0.7,22,28915,92,1885.76,6,91567.1442857143,190.221428571429,351.599285714286,334.222857142857,6466.81,310.185714285714,1133.398,1161.32866666667
"4","Solanum melongena",0,1,25.18,166989,1010,992.01,6,1137294.13214286,961.825333333333,1332.16266666667,1392.854,11329.2986666667,936.532068965517,3554.43333333333,4020.48733333333
