"","BROL","BRRA","CAAN","ERSA","IPAQ","IPPU","PEIN","SIAL","SOLY","SOME"
"BROL",0,1.80278990126951,1.59591237161563,2.71896181830811,2.68940788550041,2.7485157511158,2.45297642303884,2.54163822146193,2.45297642303884,2.54163822146193
"BRRA",0.843842127318538,0,1.87741321259949,2.74655253431302,2.32372799942535,2.69957203043661,2.74655253431302,2.74655253431302,2.30023774748715,2.74655253431302
"CAAN",2.62698775001981,2.75162143875866,0,1.74124153490489,2.57132610262188,3.00572895948835,3.03597985481332,2.62819778583281,2.51687449103694,2.90650602282247
"ERSA",1.04798547472423,-0.717042693232369,0.330942781491862,0,-1.25022828563593,0.220628520994575,-0.0919285504144063,-0.220628520994575,0.386099911740506,-0.73542840331525
"IPAQ",2.41796113960151,2.41796113960151,2.41796113960151,2.41796113960151,0,2.41796113960151,1.81347085470113,2.41796113960151,2.11571599715132,2.41796113960151
"IPPU",-0.719009367693526,0.608392541894522,1.05085984509054,0.995551432191036,-0.82962619349253,0,0.387158890296514,0.497775716095518,1.05085984509054,0.221233651598008
"PEIN",1.46060840977344,1.21975165233727,-0.25963916512614,1.25289707767252,1.72687665996663,2.21190471737248,0,2.1224120689673,1.60313373871502,1.65948096178495
"SIAL",0.734188096328756,1.19305565653423,-0.825961608369851,0.734188096328756,1.07374800496941,0.963621876431493,-0.50475431622602,0,-0.50475431622602,-0.275320536123284
"SOLY",0.902346352564847,2.23093474332878,2.67486984726442,2.38213003235034,2.63304987370527,2.62983295266226,1.83847037608132,2.57514529493105,0,1.81916884982325
"SOME",0.867721871201495,1.77038556271983,1.24431704572742,0.894575307185733,1.09840259236729,1.09840259236729,0.568775186268542,0.697218729470255,0.561980943429156,0
