"","X","focal","non_focal","ratio","variable","spp"
"1",6,"Capsicum","Morning glory",258,"focal_pollen","Capsicum-Morning glory"
"2",7,"Rocket","Morning glory",1308,"focal_pollen","Rocket-Morning glory"
"3",8,"Wild cabbage","Morning glory",90,"focal_pollen","Wild cabbage-Morning glory"
"4",10,"Pak choi","Morning glory",193,"focal_pollen","Pak choi-Morning glory"
"5",13,"Eggplant","Water morning glory",64,"focal_pollen","Eggplant-Water morning glory"
"6",14,"Petunia","Water morning glory",23,"focal_pollen","Petunia-Water morning glory"
"7",15,"Tomato","Water morning glory",56,"focal_pollen","Tomato-Water morning glory"
"8",19,"White mustard","Water morning glory",1617,"focal_pollen","White mustard-Water morning glory"
"9",21,"Morning glory","Eggplant",138,"focal_pollen","Morning glory-Eggplant"
"10",29,"White mustard","Eggplant",3054,"focal_pollen","White mustard-Eggplant"
"11",37,"Rocket","Petunia",621,"focal_pollen","Rocket-Petunia"
"12",50,"Pak choi","Tomato",1114,"focal_pollen","Pak choi-Tomato"
"13",52,"Water morning glory","Capsicum",35,"focal_pollen","Water morning glory-Capsicum"
"14",58,"Wild cabbage","Capsicum",281,"focal_pollen","Wild cabbage-Capsicum"
"15",61,"Morning glory","Rocket",27,"focal_pollen","Morning glory-Rocket"
"16",63,"Eggplant","Rocket",1837,"focal_pollen","Eggplant-Rocket"
"17",74,"Petunia","Wild cabbage",332,"focal_pollen","Petunia-Wild cabbage"
"18",82,"Water morning glory","White mustard",42,"focal_pollen","Water morning glory-White mustard"
"19",86,"Capsicum","White mustard",304,"focal_pollen","Capsicum-White mustard"
"20",95,"Tomato","Pak choi",164,"focal_pollen","Tomato-Pak choi"
"21",62,"Capsicum","Morning glory",11,"non_focal_pollen","Capsicum-Morning glory"
"22",71,"Rocket","Morning glory",8,"non_focal_pollen","Rocket-Morning glory"
"23",81,"Wild cabbage","Morning glory",20,"non_focal_pollen","Wild cabbage-Morning glory"
"24",101,"Pak choi","Morning glory",2,"non_focal_pollen","Pak choi-Morning glory"
"25",131,"Eggplant","Water morning glory",26,"non_focal_pollen","Eggplant-Water morning glory"
"26",141,"Petunia","Water morning glory",20,"non_focal_pollen","Petunia-Water morning glory"
"27",151,"Tomato","Water morning glory",10,"non_focal_pollen","Tomato-Water morning glory"
"28",191,"White mustard","Water morning glory",19,"non_focal_pollen","White mustard-Water morning glory"
"29",211,"Morning glory","Eggplant",362,"non_focal_pollen","Morning glory-Eggplant"
"30",291,"White mustard","Eggplant",1096,"non_focal_pollen","White mustard-Eggplant"
"31",371,"Rocket","Petunia",321,"non_focal_pollen","Rocket-Petunia"
"32",501,"Pak choi","Tomato",246,"non_focal_pollen","Pak choi-Tomato"
"33",521,"Water morning glory","Capsicum",85,"non_focal_pollen","Water morning glory-Capsicum"
"34",581,"Wild cabbage","Capsicum",209,"non_focal_pollen","Wild cabbage-Capsicum"
"35",611,"Morning glory","Rocket",216,"non_focal_pollen","Morning glory-Rocket"
"36",631,"Eggplant","Rocket",2231,"non_focal_pollen","Eggplant-Rocket"
"37",741,"Petunia","Wild cabbage",376,"non_focal_pollen","Petunia-Wild cabbage"
"38",821,"Water morning glory","White mustard",170,"non_focal_pollen","Water morning glory-White mustard"
"39",861,"Capsicum","White mustard",450,"non_focal_pollen","Capsicum-White mustard"
"40",951,"Tomato","Pak choi",208,"non_focal_pollen","Tomato-Pak choi"
